LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.0.conv,1.1325,0.0000,0.0022,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x1024x1024) f32(80x3x3x3),f32(1x80x512x512)
Swish,model.0.act_1,0.0210,0.0000,0.0000,[],f32(1x80x512x512),f32(1x80x512x512)
Convolution,model.1.conv,15.0995,0.0000,0.1152,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x80x512x512) f32(160x80x3x3),f32(1x160x256x256)
Swish,model.0.act_2,0.0105,0.0000,0.0000,[],f32(1x160x256x256),f32(1x160x256x256)
Convolution,model.2.cv1.conv,3.3554,0.0000,0.0256,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x160x256x256) f32(160x160x1x1),f32(1x160x256x256)
Swish,model.0.act_3,0.0105,0.0000,0.0000,[],f32(1x160x256x256),f32(1x160x256x256)
Convolution,model.2.m.0.cv1.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_4,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.m.0.cv2.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_5,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.m.1.cv1.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_6,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.m.1.cv2.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_7,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.m.2.cv1.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_8,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.m.2.cv2.conv,7.5497,0.0000,0.0576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x256x256) f32(80x80x3x3),f32(1x80x256x256)
Swish,model.0.act_9,0.0052,0.0000,0.0000,[],f32(1x80x256x256),f32(1x80x256x256)
Convolution,model.2.cv2.conv,8.3886,0.0000,0.0640,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x400x256x256) f32(160x400x1x1),f32(1x160x256x256)
Swish,model.0.act_10,0.0105,0.0000,0.0000,[],f32(1x160x256x256),f32(1x160x256x256)
Convolution,model.3.conv,15.0995,0.0000,0.4608,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x160x256x256) f32(320x160x3x3),f32(1x320x128x128)
Swish,model.0.act_11,0.0052,0.0000,0.0000,[],f32(1x320x128x128),f32(1x320x128x128)
Convolution,model.4.cv1.conv,3.3554,0.0000,0.1024,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x320x128x128) f32(320x320x1x1),f32(1x320x128x128)
Swish,model.0.act_12,0.0052,0.0000,0.0000,[],f32(1x320x128x128),f32(1x320x128x128)
Convolution,model.4.m.0.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_13,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.0.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_14,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.1.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_15,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
