LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,features.0.0,0.021676,0.000000,0.000864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x224x224) f32(32x3x3x3),f32(1x32x112x112)
BatchNorm,features.0.1,0.003211,0.000000,0.000064,[],f32(1x32x112x112),f32(1x32x112x112)
ReLU6,features.0.2,0.000000,0.000000,0.000000,[],f32(1x32x112x112),f32(1x32x112x112)
GroupConvolution,features.1.conv.0.0,0.007225,0.000000,0.000288,[auto_pad: explicit; dilations: (1xs1); group: 32; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x112x112) f32(32x1x3x3),f32(1x32x112x112)
BatchNorm,features.1.conv.0.1,0.003211,0.000000,0.000064,[],f32(1x32x112x112),f32(1x32x112x112)
ReLU6,features.1.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x32x112x112),f32(1x32x112x112)
Convolution,features.1.conv.1,0.012845,0.000000,0.000512,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x112x112) f32(16x32x1x1),f32(1x16x112x112)
BatchNorm,features.1.conv.2,0.001606,0.000000,0.000032,[],f32(1x16x112x112),f32(1x16x112x112)
Convolution,features.2.conv.0.0,0.038535,0.000000,0.001536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x16x112x112) f32(96x16x1x1),f32(1x96x112x112)
BatchNorm,features.2.conv.0.1,0.009634,0.000000,0.000192,[],f32(1x96x112x112),f32(1x96x112x112)
ReLU6,features.2.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x96x112x112),f32(1x96x112x112)
GroupConvolution,features.2.conv.1.0,0.005419,0.000000,0.000864,[auto_pad: explicit; dilations: (1xs1); group: 96; pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x96x112x112) f32(96x1x3x3),f32(1x96x56x56)
BatchNorm,features.2.conv.1.1,0.002408,0.000000,0.000192,[],f32(1x96x56x56),f32(1x96x56x56)
ReLU6,features.2.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x96x56x56),f32(1x96x56x56)
Convolution,features.2.conv.2,0.014451,0.000000,0.002304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x56x56) f32(24x96x1x1),f32(1x24x56x56)
BatchNorm,features.2.conv.3,0.000602,0.000000,0.000048,[],f32(1x24x56x56),f32(1x24x56x56)
Convolution,features.3.conv.0.0,0.021676,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x24x56x56) f32(144x24x1x1),f32(1x144x56x56)
BatchNorm,features.3.conv.0.1,0.003613,0.000000,0.000288,[],f32(1x144x56x56),f32(1x144x56x56)
ReLU6,features.3.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x144x56x56),f32(1x144x56x56)
GroupConvolution,features.3.conv.1.0,0.008129,0.000000,0.001296,[auto_pad: explicit; dilations: (1xs1); group: 144; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x144x56x56) f32(144x1x3x3),f32(1x144x56x56)
BatchNorm,features.3.conv.1.1,0.003613,0.000000,0.000288,[],f32(1x144x56x56),f32(1x144x56x56)
ReLU6,features.3.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x144x56x56),f32(1x144x56x56)
Convolution,features.3.conv.2,0.021676,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x144x56x56) f32(24x144x1x1),f32(1x24x56x56)
BatchNorm,features.3.conv.3,0.000602,0.000000,0.000048,[],f32(1x24x56x56),f32(1x24x56x56)
Convolution,features.4.conv.0.0,0.021676,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x24x56x56) f32(144x24x1x1),f32(1x144x56x56)
BatchNorm,features.4.conv.0.1,0.003613,0.000000,0.000288,[],f32(1x144x56x56),f32(1x144x56x56)
ReLU6,features.4.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x144x56x56),f32(1x144x56x56)
GroupConvolution,features.4.conv.1.0,0.002032,0.000000,0.001296,[auto_pad: explicit; dilations: (1xs1); group: 144; pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x144x56x56) f32(144x1x3x3),f32(1x144x28x28)
BatchNorm,features.4.conv.1.1,0.000903,0.000000,0.000288,[],f32(1x144x28x28),f32(1x144x28x28)
ReLU6,features.4.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x144x28x28),f32(1x144x28x28)
Convolution,features.4.conv.2,0.007225,0.000000,0.004608,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x144x28x28) f32(32x144x1x1),f32(1x32x28x28)
BatchNorm,features.4.conv.3,0.000201,0.000000,0.000064,[],f32(1x32x28x28),f32(1x32x28x28)
Convolution,features.5.conv.0.0,0.009634,0.000000,0.006144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
BatchNorm,features.5.conv.0.1,0.001204,0.000000,0.000384,[],f32(1x192x28x28),f32(1x192x28x28)
ReLU6,features.5.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x192x28x28),f32(1x192x28x28)
GroupConvolution,features.5.conv.1.0,0.002710,0.000000,0.001728,[auto_pad: explicit; dilations: (1xs1); group: 192; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x192x28x28) f32(192x1x3x3),f32(1x192x28x28)
BatchNorm,features.5.conv.1.1,0.001204,0.000000,0.000384,[],f32(1x192x28x28),f32(1x192x28x28)
ReLU6,features.5.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x192x28x28),f32(1x192x28x28)
Convolution,features.5.conv.2,0.009634,0.000000,0.006144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x28x28) f32(32x192x1x1),f32(1x32x28x28)
BatchNorm,features.5.conv.3,0.000201,0.000000,0.000064,[],f32(1x32x28x28),f32(1x32x28x28)
Convolution,features.6.conv.0.0,0.009634,0.000000,0.006144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
BatchNorm,features.6.conv.0.1,0.001204,0.000000,0.000384,[],f32(1x192x28x28),f32(1x192x28x28)
ReLU6,features.6.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x192x28x28),f32(1x192x28x28)
GroupConvolution,features.6.conv.1.0,0.002710,0.000000,0.001728,[auto_pad: explicit; dilations: (1xs1); group: 192; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x192x28x28) f32(192x1x3x3),f32(1x192x28x28)
BatchNorm,features.6.conv.1.1,0.001204,0.000000,0.000384,[],f32(1x192x28x28),f32(1x192x28x28)
ReLU6,features.6.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x192x28x28),f32(1x192x28x28)
Convolution,features.6.conv.2,0.009634,0.000000,0.006144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x28x28) f32(32x192x1x1),f32(1x32x28x28)
BatchNorm,features.6.conv.3,0.000201,0.000000,0.000064,[],f32(1x32x28x28),f32(1x32x28x28)
Convolution,features.7.conv.0.0,0.009634,0.000000,0.006144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
BatchNorm,features.7.conv.0.1,0.001204,0.000000,0.000384,[],f32(1x192x28x28),f32(1x192x28x28)
ReLU6,features.7.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x192x28x28),f32(1x192x28x28)
GroupConvolution,features.7.conv.1.0,0.000677,0.000000,0.001728,[auto_pad: explicit; dilations: (1xs1); group: 192; pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x192x28x28) f32(192x1x3x3),f32(1x192x14x14)
BatchNorm,features.7.conv.1.1,0.000301,0.000000,0.000384,[],f32(1x192x14x14),f32(1x192x14x14)
ReLU6,features.7.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x192x14x14),f32(1x192x14x14)
Convolution,features.7.conv.2,0.004817,0.000000,0.012288,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x14x14) f32(64x192x1x1),f32(1x64x14x14)
BatchNorm,features.7.conv.3,0.000100,0.000000,0.000128,[],f32(1x64x14x14),f32(1x64x14x14)
Convolution,features.8.conv.0.0,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
BatchNorm,features.8.conv.0.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.8.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
GroupConvolution,features.8.conv.1.0,0.001355,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); group: 384; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x3x3),f32(1x384x14x14)
BatchNorm,features.8.conv.1.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.8.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
Convolution,features.8.conv.2,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
BatchNorm,features.8.conv.3,0.000100,0.000000,0.000128,[],f32(1x64x14x14),f32(1x64x14x14)
Convolution,features.9.conv.0.0,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
BatchNorm,features.9.conv.0.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.9.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
GroupConvolution,features.9.conv.1.0,0.001355,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); group: 384; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x3x3),f32(1x384x14x14)
BatchNorm,features.9.conv.1.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.9.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
Convolution,features.9.conv.2,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
BatchNorm,features.9.conv.3,0.000100,0.000000,0.000128,[],f32(1x64x14x14),f32(1x64x14x14)
Convolution,features.10.conv.0.0,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
BatchNorm,features.10.conv.0.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.10.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
GroupConvolution,features.10.conv.1.0,0.001355,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); group: 384; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x3x3),f32(1x384x14x14)
BatchNorm,features.10.conv.1.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.10.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
Convolution,features.10.conv.2,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
BatchNorm,features.10.conv.3,0.000100,0.000000,0.000128,[],f32(1x64x14x14),f32(1x64x14x14)
Convolution,features.11.conv.0.0,0.009634,0.000000,0.024576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
BatchNorm,features.11.conv.0.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.11.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
GroupConvolution,features.11.conv.1.0,0.001355,0.000000,0.003456,[auto_pad: explicit; dilations: (1xs1); group: 384; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x3x3),f32(1x384x14x14)
BatchNorm,features.11.conv.1.1,0.000602,0.000000,0.000768,[],f32(1x384x14x14),f32(1x384x14x14)
ReLU6,features.11.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x384x14x14),f32(1x384x14x14)
Convolution,features.11.conv.2,0.014451,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(96x384x1x1),f32(1x96x14x14)
BatchNorm,features.11.conv.3,0.000151,0.000000,0.000192,[],f32(1x96x14x14),f32(1x96x14x14)
Convolution,features.12.conv.0.0,0.021676,0.000000,0.055296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x14x14) f32(576x96x1x1),f32(1x576x14x14)
BatchNorm,features.12.conv.0.1,0.000903,0.000000,0.001152,[],f32(1x576x14x14),f32(1x576x14x14)
ReLU6,features.12.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x576x14x14),f32(1x576x14x14)
GroupConvolution,features.12.conv.1.0,0.002032,0.000000,0.005184,[auto_pad: explicit; dilations: (1xs1); group: 576; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x576x14x14) f32(576x1x3x3),f32(1x576x14x14)
BatchNorm,features.12.conv.1.1,0.000903,0.000000,0.001152,[],f32(1x576x14x14),f32(1x576x14x14)
ReLU6,features.12.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x576x14x14),f32(1x576x14x14)
Convolution,features.12.conv.2,0.021676,0.000000,0.055296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x576x14x14) f32(96x576x1x1),f32(1x96x14x14)
BatchNorm,features.12.conv.3,0.000151,0.000000,0.000192,[],f32(1x96x14x14),f32(1x96x14x14)
Convolution,features.13.conv.0.0,0.021676,0.000000,0.055296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x14x14) f32(576x96x1x1),f32(1x576x14x14)
BatchNorm,features.13.conv.0.1,0.000903,0.000000,0.001152,[],f32(1x576x14x14),f32(1x576x14x14)
ReLU6,features.13.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x576x14x14),f32(1x576x14x14)
GroupConvolution,features.13.conv.1.0,0.002032,0.000000,0.005184,[auto_pad: explicit; dilations: (1xs1); group: 576; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x576x14x14) f32(576x1x3x3),f32(1x576x14x14)
BatchNorm,features.13.conv.1.1,0.000903,0.000000,0.001152,[],f32(1x576x14x14),f32(1x576x14x14)
ReLU6,features.13.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x576x14x14),f32(1x576x14x14)
Convolution,features.13.conv.2,0.021676,0.000000,0.055296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x576x14x14) f32(96x576x1x1),f32(1x96x14x14)
BatchNorm,features.13.conv.3,0.000151,0.000000,0.000192,[],f32(1x96x14x14),f32(1x96x14x14)
Convolution,features.14.conv.0.0,0.021676,0.000000,0.055296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x14x14) f32(576x96x1x1),f32(1x576x14x14)
BatchNorm,features.14.conv.0.1,0.000903,0.000000,0.001152,[],f32(1x576x14x14),f32(1x576x14x14)
ReLU6,features.14.conv.0.2,0.000000,0.000000,0.000000,[],f32(1x576x14x14),f32(1x576x14x14)
GroupConvolution,features.14.conv.1.0,0.000508,0.000000,0.005184,[auto_pad: explicit; dilations: (1xs1); group: 576; pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x576x14x14) f32(576x1x3x3),f32(1x576x7x7)
BatchNorm,features.14.conv.1.1,0.000226,0.000000,0.001152,[],f32(1x576x7x7),f32(1x576x7x7)
ReLU6,features.14.conv.1.2,0.000000,0.000000,0.000000,[],f32(1x576x7x7),f32(1x576x7x7)
Convolution,features.14.conv.2,0.009032,0.000000,0.092160,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x576x7x7) f32(160x576x1x1),f32(1x160x7x7)
BatchNorm,features.14.conv.3,0.000063,0.000000,0.000320,[],f32(1x160x7x7),f32(1x160x7x7)
