LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,conv1,0.236028,0.000000,0.009408,[auto_pad: explicit; dilations: (1xs1); pads_begin: (3xs3); pads_end: (3xs3); strides: (2xs2)],f32(1x3x224x224) f32(64x3x7x7),f32(1x64x112x112)
BatchNorm,bn1,0.006423,0.000000,0.000128,[],f32(1x64x112x112),f32(1x64x112x112)
ReLU,relu,0.000000,0.000000,0.000000,[],f32(1x64x112x112),f32(1x64x112x112)
MaxPool,maxpool,0.000000,0.000000,0.000000,[],f32(1x64x112x112),f32(1x64x56x56)
Convolution,layer1.0.conv1,0.025690,0.000000,0.004096,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(64x64x1x1),f32(1x64x56x56)
BatchNorm,layer1.0.bn1,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.0.relu_1,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.0.conv2,0.231211,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x56x56) f32(64x64x3x3),f32(1x64x56x56)
BatchNorm,layer1.0.bn2,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.0.relu_2,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.0.conv3,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
BatchNorm,layer1.0.bn3,0.006423,0.000000,0.000512,[],f32(1x256x56x56),f32(1x256x56x56)
Convolution,layer1.0.downsample.0,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
BatchNorm,layer1.0.downsample.1,0.006423,0.000000,0.000512,[],f32(1x256x56x56),f32(1x256x56x56)
ReLU,layer1.0.relu_3,0.000000,0.000000,0.000000,[],f32(1x256x56x56),f32(1x256x56x56)
Convolution,layer1.1.conv1,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x56x56) f32(64x256x1x1),f32(1x64x56x56)
BatchNorm,layer1.1.bn1,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.1.relu_1,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.1.conv2,0.231211,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x56x56) f32(64x64x3x3),f32(1x64x56x56)
BatchNorm,layer1.1.bn2,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.1.relu_2,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.1.conv3,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
BatchNorm,layer1.1.bn3,0.006423,0.000000,0.000512,[],f32(1x256x56x56),f32(1x256x56x56)
ReLU,layer1.1.relu_3,0.000000,0.000000,0.000000,[],f32(1x256x56x56),f32(1x256x56x56)
Convolution,layer1.2.conv1,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x56x56) f32(64x256x1x1),f32(1x64x56x56)
BatchNorm,layer1.2.bn1,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.2.relu_1,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.2.conv2,0.231211,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x56x56) f32(64x64x3x3),f32(1x64x56x56)
BatchNorm,layer1.2.bn2,0.001606,0.000000,0.000128,[],f32(1x64x56x56),f32(1x64x56x56)
ReLU,layer1.2.relu_2,0.000000,0.000000,0.000000,[],f32(1x64x56x56),f32(1x64x56x56)
Convolution,layer1.2.conv3,0.102760,0.000000,0.016384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
BatchNorm,layer1.2.bn3,0.006423,0.000000,0.000512,[],f32(1x256x56x56),f32(1x256x56x56)
ReLU,layer1.2.relu_3,0.000000,0.000000,0.000000,[],f32(1x256x56x56),f32(1x256x56x56)
Convolution,layer2.0.conv1,0.205521,0.000000,0.032768,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x56x56) f32(128x256x1x1),f32(1x128x56x56)
BatchNorm,layer2.0.bn1,0.003211,0.000000,0.000256,[],f32(1x128x56x56),f32(1x128x56x56)
ReLU,layer2.0.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x56x56),f32(1x128x56x56)
Convolution,layer2.0.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x56x56) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.0.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.0.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.0.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.0.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.0.downsample.0,0.205521,0.000000,0.131072,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x256x56x56) f32(512x256x1x1),f32(1x512x28x28)
BatchNorm,layer2.0.downsample.1,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.0.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.1.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.1.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.1.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.1.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.1.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.1.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.1.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.1.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.1.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.2.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.2.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.2.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.2.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.2.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.2.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.2.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.2.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.2.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.3.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.3.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.3.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
