LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Subtract,Subtract_8224,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x3x224x224) f32(1x3x1x1),f32(1x3x224x224)
Multiply,Divide_8226,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x3x224x224) f32(1x3x1x1),f32(1x3x224x224)
Multiply,Multiply_6683,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x3x7x7) f32(64x1x1x1),f32(64x3x7x7)
Convolution,Multiply_6310,0.2360,0.0000,0.0094,[auto_pad: explicit; dilations: (1xs1); pads_begin: (3xs3); pads_end: (3xs3); strides: (2xs2)],f32(1x3x224x224) f32(64x3x7x7),f32(1x64x112x112)
Add,578,0.0008,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x112x112) f32(1x64x1x1),f32(1x64x112x112)
Multiply,Multiply_6687,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x64x1x1) f32(64x1x1x1),f32(64x64x1x1)
Convolution,Multiply_6317,0.0257,0.0000,0.0041,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(64x64x1x1),f32(1x64x56x56)
Add,588,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x56x56) f32(1x64x1x1),f32(1x64x56x56)
Multiply,Multiply_6691,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x64x3x3) f32(64x1x1x1),f32(64x64x3x3)
Convolution,Multiply_6324,0.2312,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x56x56) f32(64x64x3x3),f32(1x64x56x56)
Add,597,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x56x56) f32(1x64x1x1),f32(1x64x56x56)
Multiply,Multiply_6695,0.0000,0.0000,0.0003,[auto_broadcast: numpy],f32(256x64x1x1) f32(256x1x1x1),f32(256x64x1x1)
Convolution,Multiply_6331,0.1028,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
Add,606,0.0008,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x56x56) f32(1x256x1x1),f32(1x256x56x56)
Multiply,Multiply_6699,0.0000,0.0000,0.0003,[auto_broadcast: numpy],f32(256x64x1x1) f32(256x1x1x1),f32(256x64x1x1)
Convolution,Multiply_6338,0.1028,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x56x56) f32(256x64x1x1),f32(1x256x56x56)
Add,614,0.0008,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x56x56) f32(1x256x1x1),f32(1x256x56x56)
Multiply,Multiply_6703,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x256x1x1) f32(64x1x1x1),f32(64x256x1x1)
Convolution,Multiply_6345,0.1028,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x56x56) f32(64x256x1x1),f32(1x64x56x56)
Add,627,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x56x56) f32(1x64x1x1),f32(1x64x56x56)
Multiply,Multiply_6707,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x64x3x3) f32(64x1x1x1),f32(64x64x3x3)
Convolution,Multiply_6352,0.2312,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x56x56) f32(64x64x3x3),f32(1x64x56x56)
