LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.0.conv,0.088474,0.000000,0.000432,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x640x640) f32(16x3x3x3),f32(1x16x320x320)
BatchNorm,model.0.bn,0.013107,0.000000,0.000032,[],f32(1x16x320x320),f32(1x16x320x320)
Swish,model.0.act_1,0.000000,0.000000,0.000000,[],f32(1x16x320x320),f32(1x16x320x320)
Convolution,model.1.conv,0.235930,0.000000,0.004608,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x16x320x320) f32(32x16x3x3),f32(1x32x160x160)
BatchNorm,model.1.bn,0.006554,0.000000,0.000064,[],f32(1x32x160x160),f32(1x32x160x160)
Swish,model.0.act_2,0.000000,0.000000,0.000000,[],f32(1x32x160x160),f32(1x32x160x160)
Convolution,model.2.cv1.conv,0.052429,0.000000,0.001024,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x160x160) f32(32x32x1x1),f32(1x32x160x160)
BatchNorm,model.2.cv1.bn,0.006554,0.000000,0.000064,[],f32(1x32x160x160),f32(1x32x160x160)
Swish,model.0.act_3,0.000000,0.000000,0.000000,[],f32(1x32x160x160),f32(1x32x160x160)
Convolution,model.2.m.0.cv1.conv,0.117965,0.000000,0.002304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x160x160) f32(16x16x3x3),f32(1x16x160x160)
BatchNorm,model.2.m.0.cv1.bn,0.003277,0.000000,0.000032,[],f32(1x16x160x160),f32(1x16x160x160)
Swish,model.0.act_4,0.000000,0.000000,0.000000,[],f32(1x16x160x160),f32(1x16x160x160)
Convolution,model.2.m.0.cv2.conv,0.117965,0.000000,0.002304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x160x160) f32(16x16x3x3),f32(1x16x160x160)
BatchNorm,model.2.m.0.cv2.bn,0.003277,0.000000,0.000032,[],f32(1x16x160x160),f32(1x16x160x160)
Swish,model.0.act_5,0.000000,0.000000,0.000000,[],f32(1x16x160x160),f32(1x16x160x160)
Convolution,model.2.cv2.conv,0.078643,0.000000,0.001536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x48x160x160) f32(32x48x1x1),f32(1x32x160x160)
BatchNorm,model.2.cv2.bn,0.006554,0.000000,0.000064,[],f32(1x32x160x160),f32(1x32x160x160)
Swish,model.0.act_6,0.000000,0.000000,0.000000,[],f32(1x32x160x160),f32(1x32x160x160)
Convolution,model.3.conv,0.235930,0.000000,0.018432,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x32x160x160) f32(64x32x3x3),f32(1x64x80x80)
BatchNorm,model.3.bn,0.003277,0.000000,0.000128,[],f32(1x64x80x80),f32(1x64x80x80)
Swish,model.0.act_7,0.000000,0.000000,0.000000,[],f32(1x64x80x80),f32(1x64x80x80)
Convolution,model.4.cv1.conv,0.052429,0.000000,0.004096,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x80x80) f32(64x64x1x1),f32(1x64x80x80)
BatchNorm,model.4.cv1.bn,0.003277,0.000000,0.000128,[],f32(1x64x80x80),f32(1x64x80x80)
Swish,model.0.act_8,0.000000,0.000000,0.000000,[],f32(1x64x80x80),f32(1x64x80x80)
Convolution,model.4.m.0.cv1.conv,0.117965,0.000000,0.009216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
BatchNorm,model.4.m.0.cv1.bn,0.001638,0.000000,0.000064,[],f32(1x32x80x80),f32(1x32x80x80)
Swish,model.0.act_9,0.000000,0.000000,0.000000,[],f32(1x32x80x80),f32(1x32x80x80)
Convolution,model.4.m.0.cv2.conv,0.117965,0.000000,0.009216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
BatchNorm,model.4.m.0.cv2.bn,0.001638,0.000000,0.000064,[],f32(1x32x80x80),f32(1x32x80x80)
Swish,model.0.act_10,0.000000,0.000000,0.000000,[],f32(1x32x80x80),f32(1x32x80x80)
Convolution,model.4.m.1.cv1.conv,0.117965,0.000000,0.009216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
BatchNorm,model.4.m.1.cv1.bn,0.001638,0.000000,0.000064,[],f32(1x32x80x80),f32(1x32x80x80)
Swish,model.0.act_11,0.000000,0.000000,0.000000,[],f32(1x32x80x80),f32(1x32x80x80)
Convolution,model.4.m.1.cv2.conv,0.117965,0.000000,0.009216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
BatchNorm,model.4.m.1.cv2.bn,0.001638,0.000000,0.000064,[],f32(1x32x80x80),f32(1x32x80x80)
Swish,model.0.act_12,0.000000,0.000000,0.000000,[],f32(1x32x80x80),f32(1x32x80x80)
Convolution,model.4.cv2.conv,0.104858,0.000000,0.008192,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x80x80) f32(64x128x1x1),f32(1x64x80x80)
BatchNorm,model.4.cv2.bn,0.003277,0.000000,0.000128,[],f32(1x64x80x80),f32(1x64x80x80)
Swish,model.0.act_13,0.000000,0.000000,0.000000,[],f32(1x64x80x80),f32(1x64x80x80)
Convolution,model.5.conv,0.235930,0.000000,0.073728,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x64x80x80) f32(128x64x3x3),f32(1x128x40x40)
BatchNorm,model.5.bn,0.001638,0.000000,0.000256,[],f32(1x128x40x40),f32(1x128x40x40)
Swish,model.0.act_14,0.000000,0.000000,0.000000,[],f32(1x128x40x40),f32(1x128x40x40)
