LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.0.conv,0.0885,0.0000,0.0004,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x640x640) f32(16x3x3x3),f32(1x16x320x320)
Swish,model.0.act_1,0.0016,0.0000,0.0000,[],f32(1x16x320x320),f32(1x16x320x320)
Convolution,model.1.conv,0.2359,0.0000,0.0046,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x16x320x320) f32(32x16x3x3),f32(1x32x160x160)
Swish,model.0.act_2,0.0008,0.0000,0.0000,[],f32(1x32x160x160),f32(1x32x160x160)
Convolution,model.2.cv1.conv,0.0524,0.0000,0.0010,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x160x160) f32(32x32x1x1),f32(1x32x160x160)
Swish,model.0.act_3,0.0008,0.0000,0.0000,[],f32(1x32x160x160),f32(1x32x160x160)
Convolution,model.2.m.0.cv1.conv,0.0590,0.0000,0.0012,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x160x160) f32(8x16x3x3),f32(1x8x160x160)
Swish,model.0.act_4,0.0002,0.0000,0.0000,[],f32(1x8x160x160),f32(1x8x160x160)
Convolution,model.2.m.0.cv2.conv,0.0590,0.0000,0.0012,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x8x160x160) f32(16x8x3x3),f32(1x16x160x160)
Swish,model.0.act_5,0.0004,0.0000,0.0000,[],f32(1x16x160x160),f32(1x16x160x160)
Convolution,model.2.cv2.conv,0.1573,0.0000,0.0031,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x48x160x160) f32(64x48x1x1),f32(1x64x160x160)
Swish,model.0.act_6,0.0016,0.0000,0.0000,[],f32(1x64x160x160),f32(1x64x160x160)
Convolution,model.3.conv,0.4719,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x64x160x160) f32(64x64x3x3),f32(1x64x80x80)
Swish,model.0.act_7,0.0004,0.0000,0.0000,[],f32(1x64x80x80),f32(1x64x80x80)
Convolution,model.4.cv1.conv,0.0524,0.0000,0.0041,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x80x80) f32(64x64x1x1),f32(1x64x80x80)
Swish,model.0.act_8,0.0004,0.0000,0.0000,[],f32(1x64x80x80),f32(1x64x80x80)
Convolution,model.4.m.0.cv1.conv,0.0590,0.0000,0.0046,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(16x32x3x3),f32(1x16x80x80)
Swish,model.0.act_9,0.0001,0.0000,0.0000,[],f32(1x16x80x80),f32(1x16x80x80)
Convolution,model.4.m.0.cv2.conv,0.0590,0.0000,0.0046,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x80x80) f32(32x16x3x3),f32(1x32x80x80)
Swish,model.0.act_10,0.0002,0.0000,0.0000,[],f32(1x32x80x80),f32(1x32x80x80)
Convolution,model.4.cv2.conv,0.1573,0.0000,0.0123,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x80x80) f32(128x96x1x1),f32(1x128x80x80)
Swish,model.0.act_11,0.0008,0.0000,0.0000,[],f32(1x128x80x80),f32(1x128x80x80)
Convolution,model.5.conv,0.4719,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x80x80) f32(128x128x3x3),f32(1x128x40x40)
Swish,model.0.act_12,0.0002,0.0000,0.0000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.6.cv1.conv,0.0524,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x40x40) f32(128x128x1x1),f32(1x128x40x40)
Swish,model.0.act_13,0.0002,0.0000,0.0000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.6.m.0.cv1.conv,0.0066,0.0000,0.0020,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x40x40) f32(32x64x1x1),f32(1x32x40x40)
Swish,model.0.act_14,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
Convolution,model.6.m.0.m.0.cv1.conv,0.0295,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x40x40) f32(32x32x3x3),f32(1x32x40x40)
Swish,model.0.act_15,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
Convolution,model.6.m.0.m.0.cv2.conv,0.0295,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x40x40) f32(32x32x3x3),f32(1x32x40x40)
Swish,model.0.act_16,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
Convolution,model.6.m.0.m.1.cv1.conv,0.0295,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x40x40) f32(32x32x3x3),f32(1x32x40x40)
Swish,model.0.act_17,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
Convolution,model.6.m.0.m.1.cv2.conv,0.0295,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x40x40) f32(32x32x3x3),f32(1x32x40x40)
Swish,model.0.act_18,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
