LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Subtract,Subtract_7752,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x3x224x224) f32(1x3x1x1),f32(1x3x224x224)
Multiply,aten::conv2d/Convolution/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(32x3x3x3) f32(32x1x1x1),f32(32x3x3x3)
Convolution,aten::conv2d/Convolution,0.0217,0.0000,0.0009,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x224x224) f32(32x3x3x3),f32(1x32x112x112)
Add,aten::conv2d/Add,0.0004,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x112x112) f32(1x32x1x1),f32(1x32x112x112)
Multiply,aten::conv2d/GroupConvolution/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(32x1x1x3x3) f32(32x1x1x1x1),f32(32x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution,0.0072,0.0000,0.0003,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x112x112) f32(32x1x1x3x3),f32(1x32x112x112)
Add,aten::conv2d/Add_1,0.0004,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x112x112) f32(1x32x1x1),f32(1x32x112x112)
Multiply,aten::conv2d/Convolution_1/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(16x32x1x1) f32(16x1x1x1),f32(16x32x1x1)
Convolution,aten::conv2d/Convolution_1,0.0128,0.0000,0.0005,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x112x112) f32(16x32x1x1),f32(1x16x112x112)
Add,aten::conv2d/Add_2,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x16x112x112) f32(1x16x1x1),f32(1x16x112x112)
Multiply,aten::conv2d/Convolution_2/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(96x16x1x1) f32(96x1x1x1),f32(96x16x1x1)
Convolution,aten::conv2d/Convolution_2,0.0385,0.0000,0.0015,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x16x112x112) f32(96x16x1x1),f32(1x96x112x112)
Add,aten::conv2d/Add_3,0.0012,0.0000,0.0001,[auto_broadcast: numpy],f32(1x96x112x112) f32(1x96x1x1),f32(1x96x112x112)
