LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,/model.0/conv/Conv/WithoutBiases,0.0885,0.0000,0.0004,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x3x640x640) f32(16x3x3x3),f32(1x16x320x320)
Add,/model.0/conv/Conv,0.0016,0.0000,0.0000,[auto_broadcast: numpy],f32(1x16x320x320) f32(1x16x1x1),f32(1x16x320x320)
Convolution,/model.1/conv/Conv/WithoutBiases,0.2359,0.0000,0.0046,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x16x320x320) f32(32x16x3x3),f32(1x32x160x160)
Add,/model.1/conv/Conv,0.0008,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x160x160) f32(1x32x1x1),f32(1x32x160x160)
Convolution,/model.2/cv1/conv/Conv/WithoutBiases,0.0524,0.0000,0.0010,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x160x160) f32(32x32x1x1),f32(1x32x160x160)
Add,/model.2/cv1/conv/Conv,0.0008,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x160x160) f32(1x32x1x1),f32(1x32x160x160)
Convolution,/model.2/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0023,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x160x160) f32(16x16x3x3),f32(1x16x160x160)
Add,/model.2/m.0/cv1/conv/Conv,0.0004,0.0000,0.0000,[auto_broadcast: numpy],f32(1x16x160x160) f32(1x16x1x1),f32(1x16x160x160)
Convolution,/model.2/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0023,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x16x160x160) f32(16x16x3x3),f32(1x16x160x160)
Add,/model.2/m.0/cv2/conv/Conv,0.0004,0.0000,0.0000,[auto_broadcast: numpy],f32(1x16x160x160) f32(1x16x1x1),f32(1x16x160x160)
Convolution,/model.2/cv2/conv/Conv/WithoutBiases,0.0786,0.0000,0.0015,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x48x160x160) f32(32x48x1x1),f32(1x32x160x160)
Add,/model.2/cv2/conv/Conv,0.0008,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x160x160) f32(1x32x1x1),f32(1x32x160x160)
Convolution,/model.3/conv/Conv/WithoutBiases,0.2359,0.0000,0.0184,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x32x160x160) f32(64x32x3x3),f32(1x64x80x80)
Add,/model.3/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.4/cv1/conv/Conv/WithoutBiases,0.0524,0.0000,0.0041,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x80x80) f32(64x64x1x1),f32(1x64x80x80)
Add,/model.4/cv1/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.4/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.4/m.0/cv1/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.4/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.4/m.0/cv2/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.4/m.1/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.4/m.1/cv1/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.4/m.1/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.4/m.1/cv2/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.4/cv2/conv/Conv/WithoutBiases,0.1049,0.0000,0.0082,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x80x80) f32(64x128x1x1),f32(1x64x80x80)
Add,/model.4/cv2/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.5/conv/Conv/WithoutBiases,0.2359,0.0000,0.0737,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x64x80x80) f32(128x64x3x3),f32(1x128x40x40)
Add,/model.5/conv/Conv,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x40x40) f32(1x128x1x1),f32(1x128x40x40)
Convolution,/model.6/cv1/conv/Conv/WithoutBiases,0.0524,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x40x40) f32(128x128x1x1),f32(1x128x40x40)
Add,/model.6/cv1/conv/Conv,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x40x40) f32(1x128x1x1),f32(1x128x40x40)
Convolution,/model.6/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.6/m.0/cv1/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.6/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.6/m.0/cv2/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.6/m.1/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.6/m.1/cv1/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.6/m.1/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.6/m.1/cv2/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.6/cv2/conv/Conv/WithoutBiases,0.1049,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x40x40) f32(128x256x1x1),f32(1x128x40x40)
Add,/model.6/cv2/conv/Conv,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x40x40) f32(1x128x1x1),f32(1x128x40x40)
Convolution,/model.7/conv/Conv/WithoutBiases,0.2359,0.0000,0.2949,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x40x40) f32(256x128x3x3),f32(1x256x20x20)
Add,/model.7/conv/Conv,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x20x20) f32(1x256x1x1),f32(1x256x20x20)
Convolution,/model.8/cv1/conv/Conv/WithoutBiases,0.0524,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(256x256x1x1),f32(1x256x20x20)
Add,/model.8/cv1/conv/Conv,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x20x20) f32(1x256x1x1),f32(1x256x20x20)
Convolution,/model.8/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x20x20) f32(128x128x3x3),f32(1x128x20x20)
Add,/model.8/m.0/cv1/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x20x20) f32(1x128x1x1),f32(1x128x20x20)
Convolution,/model.8/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x20x20) f32(128x128x3x3),f32(1x128x20x20)
Add,/model.8/m.0/cv2/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x20x20) f32(1x128x1x1),f32(1x128x20x20)
Convolution,/model.8/cv2/conv/Conv/WithoutBiases,0.0786,0.0000,0.0983,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x20x20) f32(256x384x1x1),f32(1x256x20x20)
Add,/model.8/cv2/conv/Conv,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x20x20) f32(1x256x1x1),f32(1x256x20x20)
Convolution,/model.9/cv1/conv/Conv/WithoutBiases,0.0262,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(128x256x1x1),f32(1x128x20x20)
Add,/model.9/cv1/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x20x20) f32(1x128x1x1),f32(1x128x20x20)
Convolution,/model.9/cv2/conv/Conv/WithoutBiases,0.1049,0.0000,0.1311,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x20x20) f32(256x512x1x1),f32(1x256x20x20)
Add,/model.9/cv2/conv/Conv,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x20x20) f32(1x256x1x1),f32(1x256x20x20)
Interpolate,/model.10/Resize,-1.0000,-1.0000,0.0000,,f32(1x256x20x20) f32(4),f32(1x256x40x40)
Convolution,/model.12/cv1/conv/Conv/WithoutBiases,0.1573,0.0000,0.0492,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x40x40) f32(128x384x1x1),f32(1x128x40x40)
Add,/model.12/cv1/conv/Conv,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x40x40) f32(1x128x1x1),f32(1x128x40x40)
Convolution,/model.12/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.12/m.0/cv1/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.12/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
Add,/model.12/m.0/cv2/conv/Conv,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x40x40) f32(1x64x1x1),f32(1x64x40x40)
Convolution,/model.12/cv2/conv/Conv/WithoutBiases,0.0786,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x40x40) f32(128x192x1x1),f32(1x128x40x40)
Add,/model.12/cv2/conv/Conv,0.0002,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x40x40) f32(1x128x1x1),f32(1x128x40x40)
Interpolate,/model.13/Resize,-1.0000,-1.0000,0.0000,,f32(1x128x40x40) f32(4),f32(1x128x80x80)
Convolution,/model.15/cv1/conv/Conv/WithoutBiases,0.1573,0.0000,0.0123,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x80x80) f32(64x192x1x1),f32(1x64x80x80)
Add,/model.15/cv1/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.15/m.0/cv1/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.15/m.0/cv1/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.15/m.0/cv2/conv/Conv/WithoutBiases,0.1180,0.0000,0.0092,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x32x80x80) f32(32x32x3x3),f32(1x32x80x80)
Add,/model.15/m.0/cv2/conv/Conv,0.0002,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x80x80) f32(1x32x1x1),f32(1x32x80x80)
Convolution,/model.15/cv2/conv/Conv/WithoutBiases,0.0786,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x80x80) f32(64x96x1x1),f32(1x64x80x80)
Add,/model.15/cv2/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.22/cv2.0/cv2.0.0/conv/Conv/WithoutBiases,0.4719,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x80x80) f32(64x64x3x3),f32(1x64x80x80)
Add,/model.22/cv2.0/cv2.0.0/conv/Conv,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x80x80) f32(1x64x1x1),f32(1x64x80x80)
Convolution,/model.22/cv2.0/cv2.0.1/conv/Conv/WithoutBiases,0.4719,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x80x80) f32(64x64x3x3),f32(1x64x80x80)
